"team_name","age","wins_pyth","losses_pyth","mov","sos","srs","off_rtg","def_rtg","pace","fta_per_fga_pct","fg3a_per_fga_pct","ts_pct","efg_pct","tov_pct","orb_pct","ft_rate","opp_efg_pct","opp_tov_pct","drb_pct","opp_ft_rate","opp_fg","opp_fga","opp_fg_pct","opp_fg3","opp_fg3a","opp_fg3_pct","opp_fg2","opp_fg2a","opp_fg2_pct","opp_ft","opp_fta","opp_ft_pct","opp_orb","opp_drb","opp_trb","opp_ast","opp_stl","opp_blk","opp_tov","opp_pf","opp_pts","opp_pts_per_g","fg","fga","fg_pct","fg3","fg3a","fg3_pct","fg2","fg2a","fg2_pct","ft","fta","ft_pct","orb","drb","trb","ast","stl","blk","tov","pf","pts","pts_per_g"
"Brooklyn Nets",27.3,2,1,0.67,4.65,5.32,107.9,107.2,101.4,0.254,0.418,0.55,0.507,14.4,26.4,0.209,0.505,13.2,74.6,0.175,126,275,0.458,26,78,0.333,100,197,0.508,48,62,0.774,35,106,141,83,34,20,46,66,326,108.7,118,268,0.44,36,112,0.321,82,156,0.526,56,68,0.824,38,103,141,65,26,13,50,64,328,109.3
"Milwaukee Bucks",25.2,1,1,-4.5,9.2,4.7,104.2,108.7,98.9,0.244,0.211,0.517,0.475,9.9,20.4,0.194,0.497,12.5,76.6,0.249,77,173,0.445,18,58,0.31,59,115,0.513,43,52,0.827,22,74,96,50,17,16,28,44,215,107.5,80,180,0.444,11,38,0.289,69,142,0.486,35,44,0.795,19,72,91,48,18,10,22,46,206,103
"Orlando Magic",24.8,0,3,-14.67,16.66,2,96.3,111.6,95.9,0.247,0.266,0.468,0.434,12.2,27.7,0.169,0.507,9.8,71.9,0.132,131,280,0.468,22,72,0.306,109,208,0.524,37,52,0.712,38,107,145,71,21,17,33,60,321,107,105,267,0.393,22,71,0.31,83,196,0.423,45,66,0.682,41,97,138,61,19,12,41,51,277,92.3
"Portland Trail Blazers",25.2,2,1,1,-1.06,-0.06,108.1,107.2,99.5,0.291,0.267,0.574,0.529,12.9,15.6,0.236,0.462,10.9,74.5,0.289,115,273,0.421,22,76,0.289,93,197,0.472,79,101,0.782,37,103,140,50,29,14,39,65,331,110.3,123,258,0.477,27,69,0.391,96,189,0.508,61,75,0.813,19,108,127,63,19,15,43,82,334,111.3
"Sacramento Kings",29.1,2,1,4.67,-7.25,-2.58,111.7,106.7,93.4,0.369,0.278,0.559,0.504,13.3,22.9,0.29,0.515,13.7,75.2,0.281,109,228,0.478,17,56,0.304,92,172,0.535,64,85,0.753,28,91,119,62,21,16,42,80,299,99.7,111,241,0.461,21,67,0.313,90,174,0.517,70,89,0.787,27,85,112,70,18,10,43,65,313,104.3
"Indiana Pacers",26.8,1,2,-5.67,1.62,-4.04,105.6,111.1,99.1,0.226,0.219,0.53,0.498,12,21,0.168,0.529,12.4,74.8,0.177,128,277,0.462,37,102,0.363,91,175,0.52,49,59,0.831,35,113,148,80,22,18,43,64,342,114,127,279,0.455,24,61,0.393,103,218,0.472,47,63,0.746,30,104,134,86,26,19,42,61,325,108.3
"New York Knicks",27.5,0,2,-11,6.21,-4.79,100.8,112,98.7,0.362,0.294,0.527,0.488,14.1,21.6,0.245,0.517,11.9,74.4,0.194,82,180,0.456,22,60,0.367,60,120,0.5,35,45,0.778,22,69,91,50,15,7,27,52,221,110.5,72,163,0.442,15,48,0.313,57,115,0.496,40,59,0.678,19,64,83,41,10,10,31,47,199,99.5
"Denver Nuggets",25.3,1,1,1.5,-6.99,-5.49,98.7,97.3,106,0.393,0.257,0.512,0.448,16.4,28.1,0.306,0.471,11.4,90.2,0.2,83,190,0.437,13,51,0.255,70,139,0.504,38,47,0.809,10,69,79,54,26,13,27,59,217,108.5,75,183,0.41,14,47,0.298,61,136,0.449,56,72,0.778,27,92,119,37,17,7,42,43,220,110
"Utah Jazz",27.4,1,1,-1,-4.67,-5.67,107.6,108.7,92.9,0.357,0.312,0.551,0.497,13.4,23.8,0.28,0.516,14.4,78.7,0.239,71,159,0.447,22,42,0.524,49,117,0.419,38,43,0.884,16,61,77,38,11,10,30,47,202,101,71,157,0.452,14,49,0.286,57,108,0.528,44,56,0.786,19,59,78,33,13,12,28,37,200,100
"Washington Wizards",26.1,0,1,-15,7.43,-7.57,95.7,110.2,103.4,0.191,0.213,0.486,0.457,15.7,24,0.138,0.568,18,66.7,0.159,44,88,0.5,12,26,0.462,32,62,0.516,14,18,0.778,14,38,52,28,13,7,21,19,114,114,40,94,0.426,6,20,0.3,34,74,0.459,13,18,0.722,12,28,40,25,14,4,19,20,99,99
"Memphis Grizzlies",28.2,1,1,-1.5,-6.91,-8.41,109.2,110.8,94.3,0.319,0.295,0.544,0.5,11.7,25.3,0.241,0.506,11.1,75,0.278,76,162,0.469,12,39,0.308,64,123,0.52,45,68,0.662,21,65,86,44,10,9,24,48,209,104.5,73,166,0.44,20,49,0.408,53,117,0.453,40,53,0.755,22,63,85,38,9,13,25,55,206,103
"Minnesota Timberwolves",24,1,1,-3.5,-5.48,-8.98,110.2,114.1,91.2,0.38,0.253,0.545,0.503,11.9,30.8,0.266,0.515,12.2,72.8,0.23,75,165,0.455,20,50,0.4,55,115,0.478,38,52,0.731,22,54,76,43,12,16,26,49,208,104,73,158,0.462,13,40,0.325,60,118,0.508,42,60,0.7,24,59,83,39,11,10,25,48,201,100.5
"Los Angeles Lakers",26.2,1,1,-0.5,-8.74,-9.24,107.8,108.3,97,0.249,0.335,0.544,0.506,14.7,25.9,0.197,0.506,13.2,72.3,0.292,75,161,0.466,13,54,0.241,62,107,0.579,47,67,0.701,23,63,86,43,14,8,29,41,210,105,77,173,0.445,21,58,0.362,56,115,0.487,34,43,0.791,22,60,82,37,16,11,33,53,209,104.5
"Houston Rockets",27.2,1,1,1,-12.86,-11.86,113.1,112.1,97.2,0.372,0.391,0.606,0.564,15.8,21.1,0.282,0.533,12.1,79.3,0.225,80,169,0.473,20,64,0.313,60,105,0.571,38,46,0.826,17,56,73,34,21,6,26,45,218,109,77,156,0.494,22,61,0.361,55,95,0.579,44,58,0.759,15,65,80,50,16,2,34,45,220,110
"Golden State Warriors",28.3,0,2,-10.5,-2.53,-13.03,106.9,117,103.8,0.261,0.347,0.566,0.523,13.3,19.3,0.216,0.518,11.7,67,0.192,94,198,0.475,17,46,0.37,77,152,0.507,38,49,0.776,33,71,104,54,21,9,29,43,243,121.5,84,176,0.477,16,61,0.262,68,115,0.591,38,46,0.826,17,67,84,56,19,8,30,41,222,111
"New Orleans Pelicans",25.7,1,2,-10.67,-3.22,-13.89,94.8,105.1,103.7,0.23,0.227,0.482,0.442,10.5,15.5,0.176,0.504,14.3,80,0.265,116,257,0.451,27,76,0.355,89,181,0.492,68,84,0.81,26,131,157,71,21,11,49,59,327,109,117,278,0.421,12,63,0.19,105,215,0.488,49,64,0.766,24,104,128,74,30,16,36,72,295,98.3
"Dallas Mavericks",29.1,1,1,-8.5,-7.91,-16.41,105.1,113.2,99,0.228,0.418,0.541,0.505,11,16.7,0.179,0.567,15.4,83.8,0.313,80,163,0.491,25,51,0.49,55,112,0.491,51,65,0.785,13,80,93,51,17,7,35,45,236,118,80,184,0.435,26,77,0.338,54,107,0.505,33,42,0.786,16,67,83,39,19,10,25,48,219,109.5
"Oklahoma City Thunder",25.1,1,1,4.5,-23.08,-18.58,99.9,95.7,102.8,0.337,0.226,0.495,0.445,12.8,26.5,0.247,0.472,12.5,87.4,0.219,78,178,0.438,12,52,0.231,66,126,0.524,39,57,0.684,12,75,87,36,16,13,29,51,207,103.5,79,190,0.416,11,43,0.256,68,147,0.463,47,64,0.734,27,83,110,32,18,6,32,47,216,108
"Phoenix Suns",25.3,0,2,-11,-10.57,-21.57,95.9,106.3,101.1,0.345,0.257,0.518,0.482,14.4,18.7,0.228,0.492,14.6,73.9,0.258,84,182,0.462,11,42,0.262,73,140,0.521,47,64,0.734,24,74,98,37,16,8,36,44,226,113,78,171,0.456,9,44,0.205,69,127,0.543,39,59,0.661,17,68,85,35,17,6,33,58,204,102
"Philadelphia 76ers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,179,0.453,11,42,0.262,70,137,0.511,34,49,0.694,19,81,100,50,18,10,22,37,207,103.5,64,164,0.39,12,42,0.286,52,122,0.426,29,40,0.725,9,73,82,37,14,15,34,42,169,84.5
